19,694
27,204
27,205
27,206
27,207
27,208
27,209
28,827
36,713
37,892
54,606
66,72
78,524
84,206
97,661
107,72
114,58
114,782
128,966
138,736
141,362
149,484
156,320
166,458
185,218
202,638
212,965
217,466
220,15
221,236
310,656
313,513
313,55
313,66
317,862
335,910
343,24
369,176
377,430
398,725
413,345
414,571
435,702
441,615
441,782
457,368
458,310
460,722
471,160
477,130
480,137
482,912
498,791
500,181
539,82
540,265
543,569
559,667
562,40
563,691
566,353
586,555
592,317
595,950
597,548
600,352
619,563
621,307
628,692
634,598
638,116
640,702
642,347
692,128
699,803
708,289
712,968
719,23
740,808
776,618
781,664
786,627
792,615
795,803
801,544
809,821
815,67
826,536
826,612
840,413
841,506
841,572
851,908
859,236
888,158
890,867
893,95
895,780
908,829
916,586
919,927
931,470
939,170
943,64
953,138
991,691
